cp,u,r,f_A,f_B,abs_dr_du
3.20000000,0.01250000,0.64095990,0.61307548,0.51315231,0.25767232
3.26666667,0.01250000,0.63448556,0.60626698,0.50539695,0.25506957
3.33333333,0.01250000,0.62814070,0.59960139,0.49783498,0.25251888
3.40000000,0.01250000,0.62192149,0.59307432,0.49045972,0.25001869
3.46666667,0.01250000,0.61582422,0.58668156,0.48326478,0.24756753
3.53333333,0.01250000,0.60984534,0.58041908,0.47624406,0.24516396
3.60000000,0.01250000,0.60398145,0.57428300,0.46939169,0.24280661
3.66666667,0.01250000,0.59822924,0.56826957,0.46270208,0.24049417
3.73333333,0.01250000,0.59258557,0.56237522,0.45616988,0.23822535
3.80000000,0.01250000,0.58704739,0.55659650,0.44978994,0.23599895
3.86666667,0.01250000,0.58161176,0.55093010,0.44355734,0.23381377
3.93333333,0.01250000,0.57627587,0.54537281,0.43746736,0.23166869
4.00000000,0.01250000,0.57103700,0.53992157,0.43151548,0.22956261
4.06666667,0.01250000,0.56589253,0.53457341,0.42569734,0.22749448
4.13333333,0.01250000,0.56083991,0.52932549,0.42000878,0.22546328
4.20000000,0.01250000,0.55587673,0.52417505,0.41444580,0.22346803
4.26666667,0.01250000,0.55100062,0.51911944,0.40900454,0.22150779
4.33333333,0.01250000,0.54620931,0.51415612,0.40368131,0.21958163
4.40000000,0.01250000,0.54150061,0.50928260,0.39847256,0.21768869
4.46666667,0.01250000,0.53687240,0.50449653,0.39337487,0.21582810
4.53333333,0.01250000,0.53232263,0.49979559,0.38838495,0.21399905
4.60000000,0.01250000,0.52784933,0.49517758,0.38349964,0.21220074
4.66666667,0.01250000,0.52345059,0.49064035,0.37871590,0.21043240
4.73333333,0.01250000,0.51912455,0.48618183,0.37403079,0.20869329
4.80000000,0.01250000,0.51486943,0.48180002,0.36944148,0.20698269
4.86666667,0.01250000,0.51068350,0.47749300,0.36494527,0.20529990
4.93333333,0.01250000,0.50656508,0.47325889,0.36053952,0.20364425
5.00000000,0.01250000,0.50251256,0.46909588,0.35622171,0.20201510
5.06666667,0.01250000,0.49852437,0.46500222,0.35198940,0.20041181
5.13333333,0.01250000,0.49459898,0.46097624,0.34784024,0.19883376
5.20000000,0.01250000,0.49073492,0.45701627,0.34377196,0.19728037
5.26666667,0.01250000,0.48693078,0.45312075,0.33978237,0.19575107
5.33333333,0.01250000,0.48318516,0.44928813,0.33586935,0.19424529
5.40000000,0.01250000,0.47949672,0.44551692,0.33203087,0.19276250
5.46666667,0.01250000,0.47586417,0.44180569,0.32826495,0.19130218
5.53333333,0.01250000,0.47228624,0.43815304,0.32456968,0.18986382
5.60000000,0.01250000,0.46876172,0.43455760,0.32094322,0.18844692
5.66666667,0.01250000,0.46528941,0.43101808,0.31738380,0.18705102
5.73333333,0.01250000,0.46186816,0.42753319,0.31388968,0.18567564
5.80000000,0.01250000,0.45849686,0.42410169,0.31045921,0.18432035
5.86666667,0.01250000,0.45517442,0.42072240,0.30709078,0.18298469
5.93333333,0.01250000,0.45189979,0.41739414,0.30378282,0.18166826
6.00000000,0.01250000,0.44867193,0.41411579,0.30053382,0.18037063
6.06666667,0.01250000,0.44548986,0.41088625,0.29734233,0.17909140
6.13333333,0.01250000,0.44235261,0.40770445,0.29420692,0.17783019
6.20000000,0.01250000,0.43925923,0.40456936,0.29112624,0.17658663
6.26666667,0.01250000,0.43620882,0.40147998,0.28809894,0.17536033
6.33333333,0.01250000,0.43320049,0.39843532,0.28512375,0.17415095
6.40000000,0.01250000,0.43023336,0.39543444,0.28219942,0.17295813
6.46666667,0.01250000,0.42730660,0.39247641,0.27932474,0.17178155
6.53333333,0.01250000,0.42441939,0.38956035,0.27649853,0.17062086
6.60000000,0.01250000,0.42157094,0.38668536,0.27371967,0.16947576
6.66666667,0.01250000,0.41876047,0.38385062,0.27098704,0.16834592
6.73333333,0.01250000,0.41598722,0.38105528,0.26829957,0.16723104
6.80000000,0.01250000,0.41325046,0.37829856,0.26565624,0.16613084
6.86666667,0.01250000,0.41054948,0.37557965,0.26305603,0.16504502
6.93333333,0.01250000,0.40788357,0.37289781,0.26049796,0.16397330
7.00000000,0.01250000,0.40525207,0.37025230,0.25798108,0.16291540
7.06666667,0.01250000,0.40265430,0.36764238,0.25550447,0.16187107
7.13333333,0.01250000,0.40008962,0.36506737,0.25306724,0.16084005
7.20000000,0.01250000,0.39755741,0.36252656,0.25066851,0.15982207
7.26666667,0.01250000,0.39505705,0.36001931,0.24830743,0.15881690
7.33333333,0.01250000,0.39258794,0.35754495,0.24598319,0.15782430
7.40000000,0.01250000,0.39014951,0.35510286,0.24369498,0.15684402
7.46666667,0.01250000,0.38774118,0.35269241,0.24144204,0.15587585
7.53333333,0.01250000,0.38536239,0.35031301,0.23922359,0.15491956
7.60000000,0.01250000,0.38301262,0.34796407,0.23703891,0.15397492
7.66666667,0.01250000,0.38069134,0.34564501,0.23488727,0.15304174
7.73333333,0.01250000,0.37839801,0.34335528,0.23276800,0.15211980
7.80000000,0.01250000,0.37613216,0.34109434,0.23068040,0.15120891
7.86666667,0.01250000,0.37389328,0.33886165,0.22862382,0.15030885
7.93333333,0.01250000,0.37168089,0.33665669,0.22659762,0.14941945
8.00000000,0.01250000,0.36949453,0.33447897,0.22460117,0.14854052
0.00000000,0.02500000,1.26262626,1.00000000,1.00000000,0.51015203
0.06666667,0.02500000,1.23786888,1.00000000,1.00000000,0.50014904
0.13333333,0.02500000,1.21406371,1.00000000,1.00000000,0.49053079
0.20000000,0.02500000,1.19115685,1.00000000,1.00000000,0.48127550
0.26666667,0.02500000,1.16909839,1.00000000,1.00000000,0.47236299
0.33333333,0.02500000,1.14784206,1.00000000,1.00000000,0.46377457
0.40000000,0.02500000,1.12734488,1.00000000,1.00000000,0.45549288
0.46666667,0.02500000,1.10756690,1.00000000,1.00000000,0.44750178
0.53333333,0.02500000,1.08847092,1.00000000,1.00000000,0.43978623
0.60000000,0.02500000,1.07002226,1.00000000,1.00000000,0.43233222
0.66666667,0.02500000,1.05218855,1.00000000,1.00000000,0.42512669
0.73333333,0.02500000,1.03493956,1.00000000,1.00000000,0.41815740
0.80000000,0.02500000,1.01824699,1.00000000,1.00000000,0.41141292
0.86666667,0.02500000,1.00208434,1.00000000,1.00000000,0.40488256
0.93333333,0.02500000,0.98642677,0.98507962,0.97970940,0.39855627
1.00000000,0.02500000,0.97125097,0.96842192,0.95718790,0.39242463
1.06666667,0.02500000,0.95653505,0.95229384,0.93551624,0.38647881
1.13333333,0.02500000,0.94225840,0.93667089,0.91465019,0.38071047
1.20000000,0.02500000,0.92840166,0.92153005,0.89454844,0.37511178
1.26666667,0.02500000,0.91494657,0.90684968,0.87517237,0.36967538
1.33333333,0.02500000,0.90187590,0.89260941,0.85648581,0.36439430
1.40000000,0.02500000,0.88917342,0.87879003,0.83845491,0.35926199
1.46666667,0.02500000,0.87682379,0.86537343,0.82104789,0.35427224
1.53333333,0.02500000,0.86481251,0.85234253,0.80423495,0.34941920
1.60000000,0.02500000,0.85312585,0.83968117,0.78798809,0.34469731
1.66666667,0.02500000,0.84175084,0.82737409,0.77228098,0.34010135
1.73333333,0.02500000,0.83067517,0.81540685,0.75708884,0.33562633
1.80000000,0.02500000,0.81988718,0.80376577,0.74238835,0.33126755
1.86666667,0.02500000,0.80937581,0.79243791,0.72815751,0.32702053
1.93333333,0.02500000,0.79913055,0.78141097,0.71437557,0.32288103
2.00000000,0.02500000,0.78914141,0.77067331,0.70102298,0.31884502
2.06666667,0.02500000,0.77939893,0.76021386,0.68808122,0.31490866
2.13333333,0.02500000,0.76989406,0.75002211,0.67553282,0.31106831
2.20000000,0.02500000,0.76061823,0.74008807,0.66336125,0.30732050
2.26666667,0.02500000,0.75156325,0.73040223,0.65155083,0.30366192
2.33333333,0.02500000,0.74272133,0.72095555,0.64008676,0.30008943
2.40000000,0.02500000,0.73408504,0.71173940,0.62895498,0.29660001
2.46666667,0.02500000,0.72564728,0.70274559,0.61814215,0.29319082
2.53333333,0.02500000,0.71740129,0.69396628,0.60763562,0.28985911
2.60000000,0.02500000,0.70934060,0.68539400,0.59742339,0.28660226
2.66666667,0.02500000,0.70145903,0.67702163,0.58749405,0.28341779
2.73333333,0.02500000,0.69375069,0.66884236,0.57783673,0.28030331
2.80000000,0.02500000,0.68620993,0.66084970,0.56844113,0.27725654
2.86666667,0.02500000,0.67883132,0.65303741,0.55929741,0.27427528
2.93333333,0.02500000,0.67160971,0.64539956,0.55039623,0.27135746
3.00000000,0.02500000,0.66454014,0.63793046,0.54172868,0.26850107
3.06666667,0.02500000,0.65761785,0.63062466,0.53328625,0.26570418
3.13333333,0.02500000,0.65083828,0.62347694,0.52506084,0.26296496
3.20000000,0.02500000,0.64419707,0.61648231,0.51704474,0.26028165
3.26666667,0.02500000,0.63769003,0.60963598,0.50923054,0.25765254
3.33333333,0.02500000,0.63131313,0.60293335,0.50161121,0.25507601
3.40000000,0.02500000,0.62506251,0.59637001,0.49418001,0.25255051
3.46666667,0.02500000,0.61893444,0.58994173,0.48693050,0.25007452
3.53333333,0.02500000,0.61292537,0.58364445,0.47985652,0.24764661
3.60000000,0.02500000,0.60703186,0.57747426,0.47295217,0.24526540
3.66666667,0.02500000,0.60125060,0.57142742,0.46621183,0.24292954
3.73333333,0.02500000,0.59557843,0.56550032,0.45963007,0.24063775
3.80000000,0.02500000,0.59001227,0.55968949,0.45320174,0.23838880
3.86666667,0.02500000,0.58454920,0.55399159,0.44692186,0.23618149
3.93333333,0.02500000,0.57918636,0.54840342,0.44078569,0.23401469
4.00000000,0.02500000,0.57392103,0.54292189,0.43478866,0.23188728
4.06666667,0.02500000,0.56875057,0.53754401,0.42892639,0.22979821
4.13333333,0.02500000,0.56367244,0.53226693,0.42319468,0.22774644
4.20000000,0.02500000,0.55868419,0.52708786,0.41758950,0.22573098
4.26666667,0.02500000,0.55378345,0.52200417,0.41210697,0.22375089
4.33333333,0.02500000,0.54896794,0.51701326,0.40674336,0.22180523
4.40000000,0.02500000,0.54423546,0.51211267,0.40149510,0.21989311
4.46666667,0.02500000,0.53958387,0.50729999,0.39635874,0.21801369
4.53333333,0.02500000,0.53501113,0.50257294,0.39133097,0.21616611
4.60000000,0.02500000,0.53051524,0.49792926,0.38640861,0.21434959
4.66666667,0.02500000,0.52609428,0.49336681,0.38158858,0.21256334
4.73333333,0.02500000,0.52174639,0.48888352,0.37686793,0.21080662
4.80000000,0.02500000,0.51746978,0.48447736,0.37224381,0.20907870
4.86666667,0.02500000,0.51326271,0.48014641,0.36771349,0.20737887
4.93333333,0.02500000,0.50912349,0.47588876,0.36327433,0.20570646
5.00000000,0.02500000,0.50505051,0.47170262,0.35892376,0.20406081
5.06666667,0.02500000,0.50104217,0.46758622,0.35465935,0.20244128
5.13333333,0.02500000,0.49709695,0.46353786,0.35047872,0.20084725
5.20000000,0.02500000,0.49321338,0.45955589,0.34637958,0.19927813
5.26666667,0.02500000,0.48939002,0.45563872,0.34235972,0.19773334
5.33333333,0.02500000,0.48562549,0.45178480,0.33841703,0.19621232
5.40000000,0.02500000,0.48191842,0.44799264,0.33454943,0.19471451
5.46666667,0.02500000,0.47826752,0.44426079,0.33075494,0.19323940
5.53333333,0.02500000,0.47467153,0.44058783,0.32703164,0.19178648
5.60000000,0.02500000,0.47112920,0.43697242,0.32337768,0.19035523
5.66666667,0.02500000,0.46763936,0.43341323,0.31979125,0.18894519
